2024-08-14,81104,SZCZECIN GŁ.-BIAŁYSTOK,BIAŁYSTOK,RZECZY OSOBISTE
2024-08-14,22100,STALOWA W. ROZW.-HRUBIESZÓW MIASTO,HRUBIESZÓW M.,KOSZTOWNOŚCI
2024-08-14,5360,GDYNIA GŁ.-ZAKOPANE,ZAKOPANE,DOKUMENT/Y
2024-08-14,82100,SZCZECIN GŁ.-LUBLIN GŁ.,LUBLIN GŁ.,WALIZKA / PLECAK
2024-08-14,81104,SZCZECIN GŁ.-BIAŁYSTOK,EŁK,RZECZY OSOBISTE
2024-08-14,5122,OLSZTYN GŁ.-ŁÓDŹ FABRYCZNA,ŁÓDŹ FABRYCZNA,UBRANIE
2024-08-14,5122,OLSZTYN GŁ.-ŁÓDŹ FABRYCZNA,ŻYRARDÓW,WALIZKA / PLECAK
2024-08-14,3150,ZAKOPANE-WARSZAWA WSCHODNIA,WARSZAWA WSCHODNIA,RZECZY OSOBISTE
2024-08-14,1512,WARSZAWA ZACHODNIA-GDYNIA GŁ.,GDYNIA GŁ.,WALIZKA / PLECAK
2024-08-14,33170,KRYNICA-ZDRÓJ-KRAKÓW GŁ.,KRYNICA-ZDRÓJ,REKLAMÓWKA / TORBA
2024-08-14,4524,BIELSKO-BIAŁA GŁ.-OLSZTYN GŁ.,OLSZTYN GŁ.,WALIZKA / PLECAK
2024-08-14,72102,POZNAŃ GŁ.-LUBLIN GŁ.,LUBLIN GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-14,72102,POZNAŃ GŁ.-LUBLIN GŁ.,LUBLIN ZACHODNI,TELEFON
2024-08-14,85104,SZCZECIN GŁ.-OLSZTYN GŁ.,IŁAWA GŁ.,TELEFON
2024-08-14,57104,GDYNIA GŁ.-ZIELONA GÓRA GŁ.,ZIELONA GÓRA GŁ.,REKLAMÓWKA / TORBA
2024-08-14,5310,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,SPRZĘT TURYSTYCZNY
2024-08-13,8340,KOŁOBRZEG -KRAKÓW GŁ.,KRAKÓW GŁ.,KSIĄŻKA
2024-08-14,108,WIEN HBF-GDYNIA GŁ.,GDYNIA GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-14,8320,SZCZECIN GŁ. -KRAKÓW GŁ.,KRAKÓW GŁ.,KSIĄŻKA
2024-08-14,56102,OLSZTYN GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,RZECZY OSOBISTE
2024-08-14,59,BERLIN HBF-GDYNIA GŁ.,GDYNIA GŁ.,DOKUMENT/Y
2024-08-14,75100,ZIELONA GÓRA GŁ.-OLSZTYN GŁ.,OLSZTYN GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-14,53190,ŁEBA-KRAKÓW GŁ.,KRAKÓW GŁ.,DOKUMENT/Y
2024-08-14,5300,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-13,8340,KOŁOBRZEG-KRAKÓW GŁ.,KRAKÓW GŁ.,SPRZĘT TURYSTYCZNY
2024-08-14,62100,WROCŁAW GŁ.-LUBLIN GŁ.,NAŁĘCZÓW,PORTFEL
2024-08-14,3560,ZAKOPANE-GDYNIA GŁ.,LASKOWICE POM.,TELEFON
2024-08-14,28104,HRUBIESZÓW MIASTO-ŚWINOUJŚCIE,POZNAŃ GŁ.,TELEFON
2024-08-14,3506,KRAKÓW GŁ.-GDYNIA GŁ.,GDYNIA GŁ.,WALIZKA / PLECAK
2024-08-14,1320,WARSZAWA WSCHODNIA-ZAKOPANE,ZAKOPANE,UBRANIE
2024-08-14,1322,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,WALIZKA / PLECAK
2024-08-14,61100,SZKLARSKA POR.G.-WARSZAWA WSCHODNIA,JAWORZYNA ŚLĄSKA,REKLAMÓWKA / TORBA
2024-08-14,3506,KRAKÓW GŁ.-GDYNIA GŁ.,WARSZAWA WSCHODNIA,UBRANIE
2024-08-14,85106,SZCZECIN GŁ.-OLSZTYN GŁ.,MORĄG,UBRANIE
2024-08-13,5600,GDYNIA GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-12,5600,GDYNIA GŁ.-JELENIA GÓRA,WROCŁAW GŁ.,ETUI
2024-08-12,5600,GDYNIA GŁ.-JELENIA GÓRA,WROCŁAW GŁ.,ETUI
2024-08-12,3602,PRZEMYŚL GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,AKCESORIA DLA ZWIERZĄT
2024-08-14,85106,SZCZECIN GŁ.-OLSZTYN GŁ.,MALBORK,SPRZĘT ELEKTRONICZNY
2024-08-14,12104,WARSZAWA WSCHODNIA-LUBLIN GŁ.,LUBLIN GŁ.,WALIZKA / PLECAK
2024-08-12,3602,PRZEMYŚL GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,DOKUMENT/Y
2024-08-12,3600,PRZEMYŚL GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,DOKUMENT/Y
2024-08-11,3600,PRZEMYŚL GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,REKLAMÓWKA / TORBA
2024-08-14,53170,GDYNIA GŁ.-ZAKOPANE,ZAKOPANE,SPRZĘT ELEKTRONICZNY
2024-08-13,84102,USTKA-BIELSKO-BIAŁA GŁ.,BIELSKO-BIAŁA GŁ.,ARTYKUŁY DZIECIĘCE
2024-08-14,11117,TERESPOL-WARSZAWA ZACHODNIA,WARSZAWA OLSZYNKA GROCHOWSKA,RZECZY OSOBISTE
2024-08-14,53170,GDYNIA GŁ.-ZAKOPANE,ZAKOPANE,TELEFON
2024-08-14,13104,WARSZAWA WSCHODNIA-PRZEMYŚL GŁ.,OSTROWIEC ŚWIĘT.,DOKUMENT/Y
2024-08-12,18110,WARSZAWA WSCHODNIA-PIŁA GŁ.,TORUŃ GŁ.,RZECZY OSOBISTE
2024-08-12,18110,WARSZAWA WSCHODNIA-PIŁA GŁ.,BYDGOSZCZ GŁ.,TELEFON
2024-08-11,,,BYDGOSZCZ GŁ.,DOKUMENT/Y
2024-08-14,1000,ŁÓDŹ FABRYCZNA-BIAŁYSTOK,BIAŁYSTOK,UBRANIE
2024-08-14,17000,BERLIN-WARSZAWA,WARSZAWA OLSZYNKA GROCHOWSKA,DOKUMENT/Y
2024-08-14,35172,KRAKÓW GŁ.-HEL,GDYNIA GŁ.,REKLAMÓWKA / TORBA
